日期,周,一厂白天,一厂黑天,二厂白天,二厂黑天
2021-06-29,2,A,B,C,D
2021-06-30,3,E,F,G,H
2021-07-01,4,I,A,B,C
2021-07-02,5,D,E,F,G
2021-07-03,6,H,I,A,B
2021-07-04,7,C,D,E,F
2021-07-05,1,G,H,I,A
2021-07-06,2,B,C,D,E
2021-07-07,3,F,G,H,I
2021-07-08,4,A,B,C,D
2021-07-09,5,E,F,G,H
2021-07-10,6,I,A,B,C
2021-07-11,7,D,E,F,G
2021-07-12,1,H,I,A,B
2021-07-13,2,C,D,E,F
2021-07-14,3,G,H,I,A
2021-07-15,4,B,C,D,E
2021-07-16,5,F,G,H,I
2021-07-17,6,A,B,C,D
2021-07-18,7,E,F,G,H
2021-07-19,1,I,A,B,C
2021-07-20,2,D,E,F,G
2021-07-21,3,H,I,A,B
2021-07-22,4,C,D,E,F
2021-07-23,5,G,H,I,A
2021-07-24,6,B,C,D,E
2021-07-25,7,F,G,H,I
2021-07-26,1,A,B,C,D
2021-07-27,2,E,F,G,H
2021-07-28,3,I,A,B,C
2021-07-29,4,D,E,F,G
2021-07-30,5,H,I,A,B
2021-07-31,6,C,D,E,F
2021-08-01,7,G,H,I,A
2021-08-02,1,B,C,D,E
2021-08-03,2,F,G,H,I
2021-08-04,3,A,B,C,D
2021-08-05,4,E,F,G,H
2021-08-06,5,I,A,B,C
2021-08-07,6,D,E,F,G
2021-08-08,7,H,I,A,B
2021-08-09,1,C,D,E,F
2021-08-10,2,G,H,I,A
2021-08-11,3,B,C,D,E
2021-08-12,4,F,G,H,I
2021-08-13,5,A,B,C,D
2021-08-14,6,E,F,G,H
2021-08-15,7,I,A,B,C
2021-08-16,1,D,E,F,G
2021-08-17,2,H,I,A,B
2021-08-18,3,C,D,E,F
2021-08-19,4,G,H,I,A
2021-08-20,5,B,C,D,E
2021-08-21,6,F,G,H,I
2021-08-22,7,A,B,C,D
2021-08-23,1,E,F,G,H
2021-08-24,2,I,A,B,C
2021-08-25,3,D,E,F,G
2021-08-26,4,H,I,A,B
2021-08-27,5,C,D,E,F
2021-08-28,6,G,H,I,A
2021-08-29,7,B,C,D,E
2021-08-30,1,F,G,H,I
2021-08-31,2,A,B,C,D
2021-09-01,3,E,F,G,H
2021-09-02,4,I,A,B,C
2021-09-03,5,D,E,F,G
2021-09-04,6,H,I,A,B
2021-09-05,7,C,D,E,F
2021-09-06,1,G,H,I,A
2021-09-07,2,B,C,D,E
2021-09-08,3,F,G,H,I
2021-09-09,4,A,B,C,D
2021-09-10,5,E,F,G,H
2021-09-11,6,I,A,B,C
2021-09-12,7,D,E,F,G
2021-09-13,1,H,I,A,B
2021-09-14,2,C,D,E,F
2021-09-15,3,G,H,I,A
2021-09-16,4,B,C,D,E
2021-09-17,5,F,G,H,I
2021-09-18,6,A,B,C,D
2021-09-19,7,E,F,G,H
2021-09-20,1,I,A,B,C
2021-09-21,2,D,E,F,G
2021-09-22,3,H,I,A,B
2021-09-23,4,C,D,E,F
